Cues,Targets,Target Normed?,Sample Size,# Subjects Producing Target ,Forward Strength,Backward Strength,Mediated Strength,# Mediated Associates,# Non-Normed Potential Mediators,Shared Associate Strength,# Shared Associates,Cue Set Size,# Cue Competitors,Cue Competitor Strength,Cue Frequency (K&F),Cue Concreteness(Scale 1-7),Cue Homograph? (Letter=Yes),Cue Part of Speech,Mean Cue Connectivity,Cue Connectivity Strength,Cue Resonance Probability,Cue Resonance Strength,Target Set Size,# Target Competitors,Target Competitor Strength,Target Frequency (K&F),Target Concreteness(Scale 1-7),Target Homograph? (Letter=Yes),Target Part of Speech,Mean Target Connectivity,Target Connectivity Strength,Target Resonance Probability,Target Resonance Strength,# of Other Associate Links to Target,Strength of Other Associate Links to Target
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB,BAR,YES,148,5,0.034,0,0,0,1,0.023,2,16,12,0.59,1,missing,N,N,2.2,4.57,0,1,13,11,0.352,82,6.4,N,N,2.23,4.26,0.46,1.46,missing,missing
TAB,BEER,YES,148,2,0.014,0,0.0133,3,1,0.0119,2,16,11,0.543,1,missing,N,N,2.2,4.57,0,1,22,16,0.537,34,5.83,,,2.17,4.67,0.67,3.02,missing,missing
TAB,BILL,YES,148,22,0.149,0,0.0008,2,1,0.0078,2,16,12,0.495,1,missing,N,N,2.2,4.57,0,1,16,14,0.469,133,5.36,N,N,1.38,4.68,0.38,1.63,missing,missing
TAB,BOOK,YES,148,2,0.014,0,0.0006,2,1,0.0008,1,16,11,0.61,1,missing,N,N,2.2,4.57,0,1,15,13,0.888,193,6.09,,,1.57,2.27,0.71,3.11,missing,missing
TAB,CAN,YES,148,7,0.047,0,0.006,2,1,0.0205,4,16,10,0.327,1,missing,N,N,2.2,4.57,0,1,20,15,0.563,1772,3.61,N,V,1.95,4.43,0.58,3.32,missing,missing
TAB,CHECK,YES,148,2,0.014,0,0.0137,2,1,0.0145,3,16,11,0.481,1,missing,N,N,2.2,4.57,0,1,13,10,0.439,88,4.38,N,N,1,3,0.39,1.28,missing,missing
TAB,COKE,YES,148,14,0.095,0,0.0365,4,1,0.0363,2,16,10,0.327,1,missing,N,N,2.2,4.57,0,1,9,5,0.472,4,5.68,,,1.57,1.94,0.71,1.32,missing,missing
TAB,COLA,NO,148,6,0.041,0,0,0,0,0,0,16,15,0.692,1,missing,N,N,2.2,4.57,0,1,0,0,0,0,missing,,,missing,missing,missing,missing,missing,missing
TAB,DRINK,YES,148,8,0.054,0,0.0542,7,1,0.0144,4,16,7,0.265,1,missing,N,N,2.2,4.57,0,1,20,15,0.451,82,4.95,G,V,2.58,5.58,0.9,3.03,missing,missing
TAB,MONEY,YES,148,5,0.034,0,0.0333,3,1,0.0023,2,16,11,0.481,1,missing,N,N,2.2,4.57,0,1,19,16,0.705,265,5.77,,,1.39,2.91,0.89,5.53,missing,missing
TAB,POP,YES,148,2,0.014,0,0.068,1,1,0.0737,4,16,11,0.374,1,missing,N,N,2.2,4.57,0,1,15,11,0.381,8,3.85,,,1.79,4.76,0.36,2.2,missing,missing
