Targets,Sample Size,Set Size,Set Size + Idiosyncratic,Frequency (K&F),Concreteness(Scale 1-7),Homograph? (Letter=Yes),Part of Speech,Mean Connectivity,Connectivity Strength,Resonance Probability,Resonance Strength,Accessibility Index,Non-Responses,Ending Stem Set Size  ,Ending Stem Strength,Beginning Stem Set Size,Beginning Stem Strength,Ending Fragment Cue,Ending Fragment Set size,Ending Fragment Strength,Beginning Fragment Cue,Beginning Cue Set Size,Beginning Cue Strength
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
A,152,13,36,9999,missing,,N,missing,missing,missing,missing,7,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
AARDVARK,152,13,33,0,missing,,N,0.80,2.080,0.10,1.120,1,0.13,missing,missing,missing,missing,,missing,missing,,missing,missing
ABDOMEN,152,12,37,6,6.83,,N,1.78,2.370,0.11,1.020,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ABDUCT,150,11,27,0,missing,,V,missing,missing,missing,missing,1,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ABILITY,143,22,53,74,2.03,,N,2.00,2.850,0.50,1.870,18,0.08,missing,missing,missing,missing,,missing,missing,,missing,missing
ABLE,148,15,28,216,2.91,,AJ,missing,missing,missing,missing,14,0.03,11,0.02,missing,missing,,missing,missing,,missing,missing
ABNORMAL,139,13,36,3,missing,,AJ,3.50,4.410,0.25,1.390,10,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ABOVE,140,9,19,188,missing,,AD,1.44,1.800,0.56,1.790,14,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ABSENCE,152,22,47,53,missing,,N,1.65,3.100,0.10,1.170,2,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ABSENT,143,12,29,28,missing,,AJ,1.55,3.140,0.27,1.180,8,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ABSTRACT,146,18,63,34,missing,G,AJ,1.12,2.880,0.19,1.060,4,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ABSURD,153,14,40,17,missing,,AJ,2.91,4.550,0.09,1.030,1,0.01,9,0.01,missing,missing,,missing,missing,,missing,missing
ABUNDANCE,152,21,54,13,missing,,N,2.24,2.570,0.12,1.110,6,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ABUSE,198,15,34,1,2.17,,V,1.79,3.060,0.43,1.960,12,0.01,8,0.00,missing,missing,,missing,missing,,missing,missing
ACCELERATE,140,11,20,24,missing,,V,2.40,4.560,0.20,1.030,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ACCEPT,150,18,56,72,missing,,V,1.94,2.640,0.31,1.370,17,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
ACCIDENT,148,20,31,33,4.26,,N,1.69,3.900,0.44,1.690,38,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ACCOMPLISH,147,8,24,24,2.78,,V,1.88,2.100,0.38,1.150,8,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ACCOMPLISHED,148,19,54,44,missing,,V,missing,missing,missing,missing,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
