Cue,Target,Probability
A,7,0.007
A, ABOVE AVERAGE,0.007
A, ACID,0.007
A, ANIMAL,0.007
A, BEING,0.007
A, BELL,0.007
A, BEST,0.007
A, BORING,0.007
A, DAY,0.007
A, DOOR,0.007
A, EXCELLENT,0.007
A, FIRST,0.007
A, FOREVER,0.007
A, GOOD,0.007
A, H,0.007
A, HOORAY,0.007
A, INITIAL,0.007
A, MINE,0.007
A, NOT,0.007
A, OF,0.007
A, PERFECT,0.007
A, SHOE,0.007
A, TEAM,0.007
AARDVARK, ALPHABET,0.007
AARDVARK, ARDEN,0.007
AARDVARK, ARMADILLO,0.007
AARDVARK, BIRD,0.007
AARDVARK, BUGS,0.007
AARDVARK, CAR,0.007
AARDVARK, CAT,0.007
AARDVARK, ELEPHANT,0.007
AARDVARK, EXOTIC,0.007
AARDVARK, FAT,0.007
AARDVARK, FORGET,0.007
AARDVARK, GEEK,0.007
AARDVARK, MUSIC,0.007
AARDVARK, NO,0.007
AARDVARK, SNOUT,0.007
AARDVARK, TATTLE TALE,0.007
AARDVARK, TREE,0.007
AARDVARK, TURTLE,0.007
AARDVARK, WEIRD,0.007
AARDVARK, WOMBAT,0.007
ABDOMEN, ANATOMY,0.007
ABDOMEN, ANT,0.007
ABDOMEN, APPENDIX,0.007
ABDOMEN, BACK,0.007
ABDOMEN, BELLY  BUTTON,0.007
ABDOMEN, BLOOD,0.007
ABDOMEN, BUTT,0.007
ABDOMEN, CHEST,0.007
ABDOMEN, CONSTIPATED,0.007
ABDOMEN, FLABBY,0.007
ABDOMEN, FLAT,0.007
ABDOMEN, GIRLS,0.007
ABDOMEN, HARA,0.007
ABDOMEN, LOUD,0.007
ABDOMEN, PERSON,0.007
ABDOMEN, PMS,0.007
ABDOMEN, PRESENT,0.007
ABDOMEN, PUNCH,0.007
ABDOMEN, SPECIMEN,0.007
ABDOMEN, SPIDER,0.007
ABDOMEN, THIGH,0.007
ABDOMEN, THORAX,0.007
ABDOMEN, TIGHT,0.007
ABDOMEN, VAGINA,0.007
ABDOMEN, WEIGHTS,0.007
ABDUCT, ABDUCTEE,0.007
ABDUCT, AWAY,0.007
ABDUCT, BLOCK,0.007
ABDUCT, CONDUCT,0.007
ABDUCT, CRUNCH,0.007
ABDUCT, DISAPPEAR,0.007
ABDUCT, KIDS,0.007
ABDUCT, LOST,0.007
ABDUCT, MOLEST,0.007
ABDUCT, PICKUP,0.007
ABDUCT, SNATCH,0.007
ABDUCT, STOP,0.007
ABDUCT, STRANGER,0.007
ABDUCT, VAN,0.007
ABDUCT, WATER,0.007
ABDUCT, X-FILES,0.007
ABILITY, ACHIEVEMENT,0.007
ABILITY, ACTION,0.007
ABILITY, AMBITION,0.007
ABILITY, ANYTHING,0.007
ABILITY, APT,0.007
ABILITY, APTITUDE,0.007
ABILITY, CHALLENGE,0.007
ABILITY, CHANCE,0.007
ABILITY, CONQUER,0.007
ABILITY, DANCE,0.007
ABILITY, DEXTERITY,0.007
ABILITY, DRIVE,0.007
ABILITY, GOOD,0.007
ABILITY, GREAT,0.007
ABILITY, HOPE,0.007
ABILITY, INDIVIDUAL,0.007
ABILITY, INTELLECT,0.007
ABILITY, JUMP,0.007
ABILITY, LIFE,0.007
ABILITY, NOBILITY,0.007
ABILITY, OPPORTUNITY,0.007
ABILITY, PERFORMANCE,0.007
ABILITY, SENILITY,0.007
ABILITY, SMART,0.007
ABILITY, SOCCER,0.007
ABILITY, STRONG,0.007
ABILITY, SUCCEED,0.007
ABILITY, SUCCESS,0.007
ABILITY, TASK,0.007
ABILITY, WALKING,0.007
ABILITY, WEAK,0.007
ABLE, ADEPT,0.007
ABLE, ALLOWED,0.007
ABLE, APPLE,0.007
ABLE, BE,0.007
ABLE, BETTER,0.007
ABLE, CABLE,0.007
ABLE, GO,0.007
ABLE, GOOD,0.007
ABLE, HIT,0.007
ABLE, INTELLIGENT,0.007
ABLE, POSSIBLE,0.007
ABLE, SON,0.007
ABLE, WORK,0.007
ABNORMAL, ALBINO,0.007
ABNORMAL, ATYPICAL,0.007
ABNORMAL, AWKWARD,0.007
ABNORMAL, BEHAVIOR,0.007
ABNORMAL, BRAIN,0.007
ABNORMAL, CELL,0.007
ABNORMAL, DYSFUNCTIONAL,0.007
ABNORMAL, FIGURE,0.007
ABNORMAL, FRANKENSTEIN,0.007
ABNORMAL, FREAK,0.007
ABNORMAL, FRIEND,0.007
ABNORMAL, HANDICAPPED,0.007
ABNORMAL, INCONSISTENT,0.007
ABNORMAL, INTELLIGENT,0.007
ABNORMAL, MIND,0.007
ABNORMAL, PECULIAR,0.007
ABNORMAL, PERSON,0.007
ABNORMAL, PROBLEM,0.007
ABNORMAL, PSYCHO,0.007
ABNORMAL, SICK,0.007
ABNORMAL, STRAIGHT,0.007
ABNORMAL, UNIQUE,0.007
