CREW: TEAM
PIGMENT: COLOR
INVENT: CREATE
LEVER: TOOL
RELIABLE: TRUSTWORTHY
FACTORY: INDUSTRY
DENT: DAMAGE
NEIGHBOR: COMMUNITY
IMAGINATION: CREATIVITY
LIVING: ALIVE
SEASON: TIME
SHOWER: RAIN
PRIM: PROPER
RURAL: COUNTRYSIDE
CHEDDAR: CHEESE
DECORATION: ORNAMENT
FENCE: BARRIER
CORPORAL: SOLDIER
BRIEF: SHORT
ANXIETY: WORRY
ASSUME: PRESUME
DISCOURAGE: DETER
ROPE: STRING
HAUNT: GHOST
SECURE: SAFE
SURFACE: SHEET
RADIO: BROADCAST
PUKE: VOMIT
EDGE: BORDER
CALIFORNIA: STATE
SAVE: PRESERVE
CATERPILLAR: INSECT
FLUSH: DRAIN
BASIC: FUNDAMENTAL
GOODBYE: FAREWELL
STRANGE: ODD
STRAP: BAND
CONSIDER: THINK
ROOF: CEILING
DANGEROUS: HAZARDOUS
IMPORTANT: SIGNIFICANT
BULLY: INTIMIDATE
LIGHT: BRIGHT
KING: RULER
ANGLE: CORNER
POPCORN: KERNEL
FIN: FINISH
SUICIDE: SELF-DESTRUCTION
PENCIL: WRITING
PEANUT BUTTER: SPREAD
FISHING: ANGLING
DIRECT: GUIDED
INSURANCE: COVERAGE
SOUTHERN: SOUTHWEST
DECISION: CHOICE
ATTACK: STRIKE
CLERK: ATTENDANT
ACTIVITY: ENGAGEMENT
POLICE: OFFICER
BOND: CONNECTION
FRIGHTENED: SCARED
FREEZE: CHILL
BAPTIST: CHRISTIAN
ENTERTAINMENT: AMUSEMENT
CAUTION: WARNING
FEMALE: WOMAN
FLEA: PARASITE
GRADUATE: COMPLETE
SHUT: CLOSE
STOP: HALT
FREQUENT: OFTEN
CIGAR: TOBACCO
BURIAL: INTERMENT
MEND: REPAIR
SEPARATE: DIVIDE
STARS: CELESTIAL
EYEBALL: EYE
STRICT: RIGID
CUSS: CURSE
ALARM: ALERT
BRAKE: STOP
ABILITY: SKILL
BLUFF: DECEPTION
OUTCOME: RESULT
MINK: FUR
FORBIDDEN: TABOO
ASTEROID: SPACE
JOY: HAPPINESS
ACQUIRE: OBTAIN
ECONOMY: FINANCES
FLOAT: DRIFT
PLAYING: GAMING
BOIL: HEAT
DOMAIN: TERRITORY
INCLINE: SLOPE
ANXIOUS: WORRIED
BRANDY: LIQUOR
RECIPE: COOKING
SUN: SOLAR
FRIENDSHIP: COMPANIONSHIP
