,Cues,Targets,Target Normed?,Sample Size,# Subjects Producing Target ,Forward Strength,Backward Strength,Mediated Strength,# Mediated Associates,# Potential Non-Normed Mediators,Shared Associate Strength,# Shared Associates,Cue Set Size,# Cue Competitors,Cue Competitor Strength,Cue Frequency (K&F),Cue Concreteness(Scale 1-7),Cue Homograph? (Letter=Yes),Cue Part of Speech,Mean Cue Connectivity,Cue Connectivity Strength,Cue Resonance Probability,Cue Resonance Strength,Target Set Size,# Target Competitors,Target Competitor Strength,Target Frequency (K&F),Target Concreteness(Scale 1-7),Target Homograph? (Letter=Yes),Target Part of Speech,Mean Target Connectivity,Target Connectivity Strength,Target Resonance Probability,Target Resonance Strength,# of Other Associate Links to Target,Strength of Other Associate Links to Target
51,ABILITY,ABLE,YES,143.0,11.0,0.077,0.014,0.028,4.0,4.0,0.0053,4.0,22.0,12.0,0.301,74.0,2.03,,N,2,2.85,0.5,1.87,15,5,0.326,216,2.91,,AJ,missing,missing,missing,missing,missing,missing
52,ABILITY,ATHLETE,YES,143.0,2.0,0.014,0,0.001,1.0,4.0,0.0032,2.0,22.0,15.0,0.595,74.0,2.03,,N,2,2.85,0.5,1.87,18,15,0.538,9,missing,,N,1.82,2.53,0.24,1.27,missing,missing
53,ABILITY,CAN,YES,143.0,2.0,0.014,0,0.015,1.0,4.0,0.0029,2.0,22.0,15.0,0.525,74.0,2.03,,N,2,2.85,0.5,1.87,20,17,0.745,1772,3.61,N,V,1.95,4.43,0.58,3.32,missing,missing
54,ABILITY,CAPABILITY,YES,143.0,17.0,0.119,0.282,0.006,3.0,4.0,0.0194,6.0,22.0,10.0,0.238,74.0,2.03,,N,2,2.85,0.5,1.87,12,4,0.072,14,2.42,,N,1.45,1.57,0.27,1.16,3,0.12
55,ABILITY,CAPACITY,YES,143.0,2.0,0.014,0.086,0.002,2.0,4.0,0.0025,1.0,22.0,15.0,0.483,74.0,2.03,,N,2,2.85,0.5,1.87,23,21,0.669,83,2.41,,N,1.7,3.71,0.26,1.09,2,0.031
56,ABILITY,COMPETENCE,YES,143.0,9.0,0.063,0.175,0.0,0.0,4.0,0.0152,4.0,22.0,13.0,0.308,74.0,2.03,,N,2,2.85,0.5,1.87,13,5,0.105,18,1.86,,N,missing,missing,missing,missing,missing,missing
57,ABILITY,DISABILITY,NO,143.0,4.0,0.028,missing,0.0,0.0,0.0,0.0,0.0,22.0,18.0,0.637,74.0,2.03,,N,2,2.85,0.5,1.87,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
58,ABILITY,DO,YES,143.0,3.0,0.021,0,0.003,2.0,4.0,0.0005,1.0,22.0,14.0,0.511,74.0,2.03,,N,2,2.85,0.5,1.87,20,16,0.278,1363,2.72,,V,missing,missing,missing,missing,missing,missing
59,ABILITY,INABILITY,YES,143.0,6.0,0.042,0.046,0.0,0.0,4.0,0.0039,3.0,22.0,15.0,0.504,74.0,2.03,,N,2,2.85,0.5,1.87,20,8,0.197,17,missing,,N,missing,missing,missing,missing,missing,missing
60,ABILITY,KNOW HOW,NO,143.0,2.0,0.014,missing,0.0,0.0,0.0,0.0,0.0,22.0,18.0,0.637,74.0,2.03,,N,2,2.85,0.5,1.87,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
