,Cues,Targets,Sample Size,Count,Part of Speech,Synonym
0,CREW,CAPTAIN,95,18,N,True
1,PIGMENT,COLOR,95,93,N,True
2,INVENT,CREATE,95,64,N,True
3,LEVER,PULL,95,36,N,True
4,RELIABLE,TRUSTWORTHY,95,89,N,True
5,FACTORY,INDUSTRY,95,28,N,True
6,DENT,TOOTH,95,50,N,True
7,NEIGHBOR,COMMUNITY,95,24,N,True
8,IMAGINATION,CREATIVITY,95,84,N,True
9,LIVING,ALIVE,95,61,N,True
10,SEASON,WINTER,95,59,N,True
11,SHOWER,RAIN,95,88,N,True
12,PRIM,PROPER,95,76,N,True
13,RURAL,COUNTRY,95,16,N,False
14,CHEDDAR,CHEESE,95,95,N,True
15,DECORATION,ORNAMENT,95,87,N,True
16,FENCE,BARRIER,95,81,N,True
17,CORPORAL,SERGEANT,95,25,N,True
18,BRIEF,SUMMARY,95,63,N,True
19,ANXIETY,STRESS,95,61,N,True
20,ASSUME,PRESUME,95,46,N,True
21,DISCOURAGE,DETER,95,53,N,True
22,ROPE,CORD,95,11,N,True
23,HAUNT,SPOOK,95,7,N,True
24,SECURE,SAFE,95,53,N,True
25,SURFACE,TEXTURE,95,20,N,True
26,RADIO,BROADCAST,95,86,N,True
27,PUKE,VOMIT,95,95,N,True
28,EDGE,CORNER,95,51,N,True
29,CALIFORNIA,LOSANGELES,95,26,N,False
30,SAVE,RESCUE,95,82,N,True
31,CATERPILLAR,BUTTERFLY,95,86,N,True
32,FLUSH,DRAIN,95,25,N,True
33,BASIC,FUNDAMENTAL,95,66,N,True
34,GOODBYE,FAREWELL,95,95,N,True
35,STRANGE,ODD,95,44,N,True
36,STRAP,BUCKLE,95,42,N,True
37,CONSIDER,PONDER,95,11,N,True
38,ROOF,COVER,95,5,N,True
39,DANGEROUS,THREAT,95,9,N,False
40,IMPORTANT,VITAL,95,4,N,True
41,BULLY,HARASS,95,63,N,True
42,LIGHT,BRIGHT,95,56,N,True
43,KING,ROYAL,95,4,N,True
44,ANGLE,CORNER,95,9,N,True
45,POPCORN,MOVIE,95,4,N,True
46,FIN,SHARK,95,66,N,True
47,SUICIDE,DEPRESSION,95,47,N,True
48,PENCIL,SKETCH,95,15,N,True
49,PEANUT BUTTER,SANDWICH,95,28,N,False
50,FISHING,ANGLING,95,66,N,True
51,DIRECT,ORDER,95,6,N,True
52,INSURANCE,COVERAGE,95,22,N,True
53,SOUTHERN,TEXAS,95,6,N,False
54,DECISION,CHOICE,95,94,N,True
55,ATTACK,BATTLE,95,1,N,True
56,CLERK,CASHIER,95,32,N,True
57,ACTIVITY,EXERCISE,95,28,N,True
58,POLICE,OFFICER,95,35,N,True
59,BOND,LINK,95,5,N,True
60,FRIGHTENED,SCARY,95,2,N,True
61,FREEZE,COLD,95,20,N,True
62,BAPTIST,CHRISTIAN,95,63,N,True
63,ENTERTAINMENT,SHOW,95,23,N,True
