Cues,Targets,Sample Size,Count
CREW,SAILOR,94,70
PIGMENT,COLOR,94,89
INVENT,CREATE,94,82
LEVER,PULL,94,78
RELIABLE,DEPENDABLE,94,1
FACTORY,INDUSTRIAL,94,53
DENT,TOOTH,94,55
NEIGHBOR,FRIEND,94,79
IMAGINATION,CREATIVITY,94,83
LIVING,BREATHING,94,13
SEASON,AUTUMN,94,27
SHOWER,RAIN,94,90
PRIM,PROPER,94,91
RURAL,FARM,94,32
CHEDDAR,CHEESE,94,94
DECORATION,ORNAMENT,94,70
FENCE,BARRIER,94,89
CORPORAL,SOLDIER,94,30
BRIEF,SHORT,94,37
ANXIETY,STRESS,94,62
ASSUME,PRESUME,94,60
DISCOURAGE,DISCOURAGE,94,6
ROPE,KNOT,94,46
HAUNT,GHOST,94,91
SECURE,SAFE,94,64
SURFACE,TOP,94,7
RADIO,MUSIC,94,46
PUKE,VOMIT,94,91
EDGE,BORDER,94,72
CALIFORNIA,BEACH,94,39
SAVE,RESCUE,94,90
CATERPILLAR,INSECT,94,33
FLUSH,TOILET,94,89
BASIC,FUNDAMENTAL,94,51
GOODBYE,FAREWELL,94,93
STRANGE,ODD,94,34
STRAP,BUCKLE,94,40
CONSIDER,THINK,94,56
ROOF,COVER,94,26
DANGEROUS,HAZARD,94,10
IMPORTANT,SIGNIFICANT,94,56
BULLY,HARASS,94,72
LIGHT,BRIGHT,94,66
KING,MONARCH,94,84
ANGLE,CORNER,94,12
POPCORN,SNACK,94,86
FIN,SHARK,94,89
SUICIDE,DEPRESSION,94,33
PENCIL,DRAW,94,33
PEANUT BUTTER,SANDWICH,94,51
FISHING,ANGLING,94,50
DIRECT,STRAIGHT,94,13
INSURANCE,PROTECTION,94,66
SOUTHERN,ACCENT,94,13
DECISION,CHOICE,94,92
ATTACK,WARFARE,94,2
CLERK,ASSISTANT,94,16
ACTIVITY,MOVEMENT,94,2
POLICE,PATROL,94,7
BOND,TIES,94,3
FRIGHTENED,SCARED,94,89
FREEZE,COLD,94,34
BAPTIST,RELIGION,94,35
ENTERTAINMENT,SHOWBIZ,94,14
CAUTION,WARNING,94,89
FEMALE,WOMAN,94,89
FLEA,BUG,94,4
GRADUATE,EDUCATION,94,2
SHUT,CLOSE,94,78
STOP,HALT,94,80
FREQUENT,OFTEN,94,35
CIGAR,SMOKING,94,23
BURIAL,FUNERAL,94,92
MEND,REPAIR,94,81
SEPARATE,DIVIDE,94,85
STARS,GALAXY,94,64
EYEBALL,VISION,94,61
STRICT,SEVERE,94,9
CUSS,CURSE,94,1
ALARM,ALERT,94,50
BRAKE,STOP,94,87
ABILITY,TALENT,94,66
BLUFF,TRICK,94,18
OUTCOME,RESULT,94,94
MINK,FUR,94,93
FORBIDDEN,TABOO,94,22
ASTEROID,METEOR,94,48
JOY,HAPPINESS,94,93
ACQUIRE,OBTAIN,94,48
ECONOMY,FINANCE,94,59
FLOAT,DRIFT,94,48
PLAYING,GAME,94,69
BOIL,HEAT,94,58
DOMAIN,TERRITORY,94,39
INCLINE,HILL,94,38
ANXIOUS,WORRIED,94,66
BRANDY,LIQUOR,94,64
RECIPE,INSTRUCTION,94,18
SUN,GLOW,94,1
FRIENDSHIP,COMPANIONSHIP,94,48
RELIABLE,TRUSTWORTHY,94,87
FACTORY,MANUFACTURING,94,4
LIVING,ALIVE,94,66
SEASON,WINTER,94,58
RURAL,COUNTRYSIDE,94,35
DISCOURAGE,DETER,94,51
SURFACE,EXTERIOR,94,58
RADIO,BROADCAST,94,42
CALIFORNIA,LOS ANGELES,94,2
CATERPILLAR,BUTTERFLY,94,59
BASIC,SIMPLE,94,29
STRANGE,WEIRD,94,11
ROOF,TOP,94,7
DANGEROUS,RISKY,94,15
IMPORTANT,CRUCIAL,94,25
BULLY,TORMENT,94,4
ANGLE,PERSPECTIVE,94,50
SUICIDE,DEATH,94,52
PENCIL,WRITE,94,47
DIRECT,COMMAND,94,8
INSURANCE,COVERAGE,94,8
SOUTHERN,TEXAS,94,4
ATTACK,ASSAULT,94,48
CLERK,CASHIER,94,13
ACTIVITY,HOBBY,94,9
POLICE,COP,94,7
BOND,CONNECTION,94,40
FREEZE,ICE,94,41
BAPTIST,CHRISTIAN,94,29
ENTERTAINMENT,CINEMA,94,35
FLEA,INSECT,94,77
GRADUATE,DEGREE,94,11
FREQUENT,REGULAR,94,33
CIGAR,SMOKE,94,57
STARS,ASTRONOMY,94,2
STRICT,RIGOROUS,94,7
CUSS,SWEAR,94,89
ABILITY,SKILL,94,16
FORBIDDEN,PROHIBITED,94,36
BOIL,COOK,94,11
INCLINE,SLOPE,94,40
RECIPE,COOKING,94,31
SUN,WARMTH,94,1
FRIENDSHIP,COMRADESHIP,94,4
FACTORY,MANUFACTURE,94,3
IMAGINATION,FANTASY,94,6
FENCE,WOOD,94,1
CORPORAL,MILITARY,94,63
BRIEF,SUMMARY,94,48
DISCOURAGE,DEMOTIVATE,94,13
ROPE,TIE,94,20
CALIFORNIA,HOLLYWOOD,94,40
STRAP,BELT,94,53
CONSIDER,PONDER,94,17
ROOF,CEILING,94,3
DANGEROUS,THREATENING,94,12
PEANUT BUTTER,JELLY,94,28
FISHING,REEL,94,2
DIRECT,GUIDANCE,94,7
SOUTHERN,DIXIE,94,64
CLERK,SALESMAN,94,15
ACTIVITY,EXERCISE,94,33
POLICE,OFFICER,94,23
BOND,ALLIANCE,94,4
FREEZE,ICY,94,6
BAPTIST,RELIGIOUS,94,23
GRADUATE,DIPLOMA,94,46
STOP,CEASE,94,6
CIGAR,TOBACCO,94,13
STARS,NIGHT,94,6
EYEBALL,SIGHT,94,18
STRICT,RIGID,94,48
BLUFF,DECEPTION,94,16
FORBIDDEN,RESTRICTED,94,5
PLAYING,GAMING,94,18
BOIL,BUBBLE,94,2
INCLINE,RAMP,94,3
SUN,SUNSHINE,94,1
FRIENDSHIP,COMPANION,94,13
CREW,SHIP,94,11
INVENT,INNOVATE,94,8
DENT,CHIP,94,9
BRIEF,CONCISE,94,6
ROPE,LASSO,94,4
SECURE,SAFETY,94,22
STRANGE,MYSTERIOUS,94,18
ROOF,SHELTER,94,51
DANGEROUS,THREAT,94,13
ANGLE,TRIANGLE,94,15
FIN,SWIM,94,4
PEANUT BUTTER,FOOD,94,1
FISHING,HUNT,94,4
INSURANCE,SAFEGUARD,94,5
ATTACK,DEFENSE,94,3
BOND,UNITY,94,12
ENTERTAINMENT,MOVIE,94,7
FLEA,PARASITE,94,9
GRADUATE,SCHOLAR,94,16
SHUT,CLOSURE,94,1
BLUFF,LIE,94,10
ACQUIRE,BUY,94,16
FLOAT,BOAT,94,11
RECIPE,INSTRUCTIONS,94,17
SUN,LIGHT,94,10
FRIENDSHIP,FRIEND,94,3
PIGMENT,PAINT,94,2
DECORATION,FESTIVE,94,7
STRANGE,UNUSUAL,94,23
DANGEROUS,RISK,94,24
ANGLE,PERPENDICULAR,94,1
PENCIL,SKETCH,94,2
DIRECT,ORDER,94,9
ATTACK,WAR,94,16
CLERK,SECRETARY,94,31
ACTIVITY,SPORT,94,18
POLICE,JUSTICE,94,18
STRICT,HARSH,94,18
ASTEROID,SPACE,94,44
ACQUIRE,PURCHASE,94,16
ECONOMY,FINANCES,94,3
PLAYING,SPORTS,94,2
DOMAIN,WEBSITE,94,19
INCLINE,UPHILL,94,5
ANXIOUS,NERVOUS,94,25
FRIENDSHIP,CAMARADERIE,94,4
NEIGHBOR,COMMUNITY,94,7
ASSUME,PRESUPPOSE,94,4
DANGEROUS,HAZARDOUS,94,14
DIRECT,GUIDE,94,25
ATTACK,OFFENSIVE,94,4
CLERK,SHOPKEEPER,94,5
ACTIVITY,EXERTION,94,1
POLICE,LAW,94,14
GRADUATE,ACADEMIC,94,3
BLUFF,DECEIVE,94,37
DOMAIN,PROPERTY,94,3
BRANDY,ALCOHOL,94,27
RECIPE,INGREDIENT,94,13
SUN,SUNLIGHT,94,3
FRIENDSHIP,BOND,94,7
CREW,CAPTAIN,94,10
LEVER,PUSH,94,3
ASSUME,BELIEVE,94,17
SECURE,LOCK,94,6
SURFACE,TEXTURE,94,6
BASIC,SIMPLICITY,94,3
PEANUT BUTTER,SPREAD,94,12
ACTIVITY,FUN,94,17
BOND,UNION,94,1
STARS,SPACE,94,1
ALARM,WARNING,94,37
ECONOMY,RECESSION,94,2
DOMAIN,KINGDOM,94,20
BRANDY,COGNAC,94,2
SUN,HEAT,94,4
ROPE,TWINE,94,10
LIGHT,BRIGHTNESS,94,15
FREEZE,ICICLE,94,3
ENTERTAINMENT,SHOW,94,15
ECONOMY,FINANCIAL,94,9
BOIL,SIMMER,94,9
INCLINE,ASCENT,94,1
RECIPE,COOKBOOK,94,7
SUN,STAR,94,18
FACTORY,INDUSTRY,94,18
RURAL,COUNTRY,94,20
ANXIETY,FEAR,94,18
HAUNT,SPOOKY,94,1
DANGEROUS,PERILOUS,94,5
ATTACK,AGGRESSION,94,3
POLICE,ENFORCEMENT,94,12
FREEZE,CHILL,94,7
ENTERTAINMENT,FUN,94,5
SUN,SOLAR,94,19
FISHING,ROD,94,3
INSURANCE,POLICY,94,4
ATTACK,INVASION,94,2
POLICE,ARREST,94,4
BOND,SECRECY,94,1
ENTERTAINMENT,MOVIES,94,8
STOP,RED,94,1
FREQUENT,VISIT,94,9
BLUFF,GAMBLE,94,3
LEVER,PULLEY,94,13
IMAGINATION,CREATIVE,94,3
DECORATION,CHRISTMAS,94,10
DISCOURAGE,DISHEARTEN,94,10
SECURE,PROTECT,94,2
FISHING,HUNTING,94,7
BOND,RELATIONSHIP,94,6
EYEBALL,VISUAL,94,2
ALARM,PANIC,94,1
SUN,DAYLIGHT,94,1
LIVING,EXISTENCE,94,5
PRIM,MODEST,94,1
RURAL,FARMLAND,94,2
CALIFORNIA,LOSANGELES,94,8
BASIC,SIMPLISTIC,94,3
KING,ROYALTY,94,1
ANGLE,VIEWPOINT,94,2
DIRECT,POINT,94,3
ATTACK,AMBUSH,94,5
SHUT,CLOSED,94,13
BURIAL,DEATH,94,1
MEND,FIX,94,4
SEPARATE,DIVORCE,94,3
EYEBALL,RETINA,94,7
ACQUIRE,OWN,94,5
FLOAT,BUOY,94,1
SUN,SHINE,94,11
INVENT,INNOVATION,94,3
DENT,PAIN,94,6
DISCOURAGE,DETRACT,94,1
SURFACE,PLANE,94,1
BASIC,ELEMENTARY,94,4
BULLY,MENACE,94,1
KING,ROYAL,94,5
CLERK,OFFICE,94,3
ENTERTAINMENT,FILM,94,1
STOP,BLOCK,94,1
MEND,HEAL,94,9
EYEBALL,SEE,94,2
ALARM,SIREN,94,4
FLOAT,SWIM,94,13
SUN,BRIGHT,94,11
FRIENDSHIP,UNITY,94,2
STARS,SKY,94,2
ABILITY,CAPABILITY,94,10
SUN,BEAM,94,1
FACTORY,PRODUCTION,94,16
SEASON,SPRING,94,5
ANXIETY,WORRY,94,14
CONSIDER,CONTEMPLATE,94,4
IMPORTANT,VITAL,94,1
POPCORN,CINEMA,94,5
BAPTIST,PREACHER,94,1
STRICT,FIRM,94,1
BLUFF,PRETENSE,94,2
RECIPE,CULINARY,94,1
FRIENDSHIP,AMITY,94,1
ASSUME,INFER,94,1
CONSIDER,EVALUATE,94,13
SUICIDE,DEPRESSING,94,1
SOUTHERN,REGION,94,1
GRADUATE,EDUCATE,94,7
STARS,CELESTIAL,94,12
RADIO,TRANSMISSION,94,2
ANGLE,VIEW,94,6
PENCIL,LEAD,94,2
STARS,COSMOS,94,3
PLAYING,GAMES,94,2
LIVING,LIFE,94,6
RADIO,COMMUNICATION,94,3
INSURANCE,COVER,94,3
ATTACK,AGGRESSIVE,94,1
GRADUATE,ALUMNI,94,1
FREQUENT,COMMON,94,12
SEPARATE,INDIVIDUAL,94,1
STRICT,DISCIPLINE,94,8
FORBIDDEN,PROHIBIT,94,16
DOMAIN,CYBERSPACE,94,1
EDGE,SHARP,94,5
BASIC,FOUNDATIONAL,94,1
STRANGE,UNEXPECTED,94,1
FISHING,SPORT,94,8
INSURANCE,LIFE,94,1
GRADUATE,ACHIEVE,94,2
BOIL,BURN,94,1
DOMAIN,OWNERSHIP,94,1
INCLINE,RISE,94,5
DENT,DAMAGE,94,7
NEIGHBOR,FRIENDLY,94,7
ASSUME,GUESS,94,3
HAUNT,SPOOK,94,2
LIGHT,ILLUMINATE,94,5
KING,SOVEREIGN,94,1
POPCORN,MOVIE,94,3
FISHING,CATCH,94,4
BOND,TIE,94,6
GRADUATE,LEARN,94,2
STOP,TERMINATE,94,1
CUSS,EXPLETIVE,94,2
ABILITY,CAPACITY,94,1
DENT,CAVITY,94,7
DISCOURAGE,DISSUADE,94,10
EDGE,CLIIF,94,1
POLICE,UNIFORM,94,1
EYEBALL,OPTIC,94,2
BOIL,STEAM,94,6
DOMAIN,DOMAIN,94,1
DENT,TOOTHACHE,94,4
EDGE,CLIFF,94,12
IMPORTANT,ESSENTIAL,94,3
ANGLE,SLOPE,94,1
FISHING,ANGLER,94,5
CLERK,RETAIL,94,3
STRICT,DISCIPLINARIAN,94,1
FLOAT,HOVER,94,1
INVENT,INVENTION,94,1
STRANGE,ALIEN,94,5
ROOF,SHINGLE,94,3
BULLY,INTIMIDATE,94,7
LIGHT,LAMP,94,2
GRADUATE,STUDENT,94,2
DIRECT,INSTRUCT,94,10
ENTERTAINMENT,LEISURE,94,1
BRAKE,SLOW,94,4
FORBIDDEN,BANNED,94,3
FLOAT,BOBBLE,94,1
RELIABLE,TRUST,94,5
DECORATION,ART,94,1
STRANGE,MYSTERY,94,1
STRAP,LEATHER,94,1
BULLY,HARASSMENT,94,2
FISHING,CATCHING,94,1
DIRECT,GUIDELINE,94,1
FORBIDDEN,PROHIBITION,94,2
FRIENDSHIP,RELATIONSHIP,94,1
SURFACE,DEPTH,94,1
CONSIDER,DELIBERATE,94,2
POLICE,SIREN,94,1
SHUT,LOCK,94,2
FREQUENT,USUAL,94,2
BRAKE,HALT,94,3
ECONOMY,TRADE,94,14
FLOAT,BLOAT,94,1
PLAYING,SPORT,94,2
BOIL,SCALD,94,1
FRIENDSHIP,LOYALTY,94,5
DIRECT,STEER,94,2
RECIPE,FORMULA,94,4
DANGEROUS,LETHAL,94,1
SUICIDE,DESPAIR,94,2
INSURANCE,GUARANTEE,94,3
BOIL,SICK,94,1
DOMAIN,WEB,94,3
SUN,RAYS,94,7
CREW,TEAM,94,2
