,Cues,Targets,Sample Size,Count,Part of Speech,Synonym
0,CREW,TEAM,198,188,N,True
1,PIGMENT,COLOR,197,197,N,True
2,INVENT,INNOVATION,197,192,N,False
3,LEVER,MECHANICAL,197,9,N,False
4,RELIABLE,DEPENDABLE,197,31,N,True
5,FACTORY,MANUFACTURING,197,162,N,True
6,DENT,DAMAGE,197,192,N,True
7,NEIGHBOR,COMMUNITY,197,114,N,True
8,IMAGINATION,CREATIVITY,197,196,N,True
9,LIVING,EXISTENCE,197,33,N,True
10,SEASON,TIME,197,164,N,True
11,SHOWER,CLEANSE,197,21,N,True
12,PRIM,FORMAL,197,62,N,True
13,RURAL,COUNTRYSIDE,197,196,N,False
14,CHEDDAR,CHEESE,197,197,N,True
15,DECORATION,ORNAMENT,197,181,N,True
16,FENCE,BARRIER,197,186,N,True
17,CORPORAL,PHYSICAL,197,44,N,True
18,BRIEF,CONCISE,197,117,N,False
19,ANXIETY,WORRY,197,138,N,True
20,ASSUME,PRESUME,197,180,N,True
21,DISCOURAGE,DETER,197,185,N,True
22,ROPE,CORD,197,190,N,True
23,HAUNT,GHOST,197,184,N,True
24,SECURE,SAFE,197,195,N,True
25,SURFACE,EXTERIOR,197,153,N,True
26,RADIO,BROADCAST,197,166,N,True
27,PUKE,VOMIT,197,197,N,True
28,EDGE,BORDER,197,150,N,True
29,CALIFORNIA,STATE,197,188,N,True
30,SAVE,RESERVE,197,2,N,True
31,CATERPILLAR,LARVA,197,195,N,True
32,FLUSH,CLEAN,197,16,N,True
33,BASIC,FUNDAMENTAL,197,177,N,True
34,GOODBYE,FAREWELL,197,197,N,True
35,STRANGE,UNUSUAL,197,126,N,True
36,STRAP,FASTEN,197,126,N,True
37,CONSIDER,PONDER,197,141,N,True
38,ROOF,TOP,197,179,N,True
39,DANGEROUS,HAZARDOUS,197,188,N,True
40,IMPORTANT,SIGNIFICANT,197,109,N,True
41,BULLY,INTIMIDATE,197,194,N,True
42,LIGHT,ILLUMINATE,197,156,N,True
43,KING,MONARCH,197,158,N,True
44,ANGLE,PERSPECTIVE,197,82,N,True
45,POPCORN,SNACK,197,192,N,True
46,FIN,APPENDAGE,197,34,N,True
47,SUICIDE,SELF,197,193,N,True
48,PENCIL,WRITING INSTRUMENT,197,37,N,False
49,BUTTER,SPREAD,197,194,N,True
50,FISHING,ANGLING,197,196,N,True
51,DIRECT,GUIDE,197,159,N,True
52,INSURANCE,COVERAGE,197,196,N,True
53,SOUTHERN,SOUTHERNMOST,197,75,N,True
54,DECISION,CHOICE,197,195,N,True
55,ATTACK,ASSAULT,197,189,N,True
56,CLERK,ATTENDANT,197,122,N,True
57,ACTIVITY,ENGAGEMENT,197,15,N,True
58,POLICE,LAW ENFORCEMENT,197,187,N,False
59,BOND,CONNECTION,197,193,N,True
60,FRIGHTENED,SCARED,197,155,N,True
61,FREEZE,SOLIDIFY,197,191,N,True
62,BAPTIST,RELIGIOUS DENOMINATION,197,10,N,False
63,ENTERTAINMENT,AMUSEMENT,197,195,N,True
64,CAUTION,ALERTNESS,197,17,N,True
65,FEMALE,WOMAN,197,196,N,True
66,FLEA,PARASITE,197,182,N,True
67,GRADUATE,COMPLETE,197,46,AJ,True
68,SHUT,CLOSE,197,196,N,True
69,STOP,HALT,196,146,N,True
70,FREQUENT,REGULAR,196,181,N,True
71,CIGAR,TOBACCO,196,88,N,True
72,BURIAL,INTERMENT,196,185,N,True
73,MEND,REPAIR,196,194,N,True
74,SEPARATE,DIVIDE,196,196,N,True
75,STARS,CELESTIAL BODIES,196,107,N,False
76,EYEBALL,EYE,196,129,N,True
77,STRICT,RIGOROUS,196,131,N,True
78,CUSS,SWEAR,196,145,N,True
79,ALARM,WARNING,196,9,N,True
80,BRAKE,STOP,196,166,N,True
81,ABILITY,CAPABILITY,196,87,N,True
82,BLUFF,DECEPTION,196,71,N,True
83,OUTCOME,RESULT,196,196,N,True
84,MINK,FUR,196,167,N,True
85,FORBIDDEN,PROHIBITED,196,193,N,True
86,ASTEROID,CELESTIAL OBJECT,196,98,N,False
87,JOY,HAPPINESS,196,195,N,True
88,ACQUIRE,OBTAIN,196,196,N,True
89,ECONOMY,FINANCIAL SYSTEM,196,122,N,False
90,FLOAT,DRIFT,196,179,N,True
91,PLAYING,RECREATION,196,175,N,True
92,BOIL,HEAT,196,88,N,True
93,DOMAIN,TERRITORY,196,183,N,True
94,INCLINE,SLOPE,196,179,N,True
95,ANXIOUS,WORRIED,195,179,N,True
96,BRANDY,LIQUOR,195,132,N,True
97,RECIPE,COOKING INSTRUCTIONS,195,98,N,False
98,SUN,STAR,195,193,N,True
99,FRIENDSHIP,COMPANIONSHIP,195,174,N,True
100,LEVER,MECHANISM,197,151,N,True
101,RELIABLE,TRUSTWORTHY,197,166,N,True
102,NEIGHBOR,NEIGHBOR,197,23,N,True
103,LIVING,LIFE,197,159,N,True
104,PRIM,PRIM,197,4,N,True
105,CORPORAL,SOLDIER,197,49,N,True
106,ANXIETY,STRESS,197,51,N,True
107,SAVE,PRESERVE,197,162,N,True
108,FLUSH,RINSE,197,15,N,True
109,STRANGE,ODD,197,40,N,True
110,STRAP,BAND,197,60,N,True
111,ROOF,CEILING,197,10,N,True
112,IMPORTANT,ESSENTIAL,197,30,N,True
113,FIN,FIN,197,5,N,True
114,PENCIL,WRITING TOOL,197,39,N,False
115,SOUTHERN,SOUTHERN,197,71,N,True
116,ACTIVITY,ACTION,197,176,N,True
117,FREEZE,CHILL,197,5,N,True
118,BAPTIST,CHRISTIANITY,197,1,N,True
119,CAUTION,WARN,197,1,N,True
120,GRADUATE,DEGREE,197,52,N,True
121,CIGAR,SMOKE,196,78,N,True
122,ALARM,ALERT,196,181,N,True
123,ABILITY,SKILL,196,103,N,True
124,BLUFF,DECEIVE,196,122,N,True
125,FORBIDDEN,BANNED,196,3,N,True
126,BOIL,COOK,196,96,N,True
127,BRANDY,SPIRIT,195,42,N,True
128,CREW,SAIL,198,1,N,True
129,SHOWER,RAIN,197,106,N,True
130,PRIM,PROPER,197,78,N,True
131,FENCE,BOUNDARY,197,11,N,True
132,BRIEF,SHORT,197,79,AJ,True
133,FLUSH,CLEANSE,197,113,N,True
134,FIN,FINALE,197,58,N,True
135,PENCIL,WRITING,197,89,N,True
136,FRIGHTENED,TERRIFIED,197,35,N,True
137,BAPTIST,RELIGIOUS,197,18,N,True
138,CAUTION,WARNING,197,161,N,True
139,FLEA,INSECT,197,14,N,True
140,GRADUATE,COMMENCE,197,5,N,True
141,STARS,CELESTIAL,196,83,N,False
142,ASTEROID,CELESTIAL,196,15,N,True
143,ECONOMY,FINANCIAL,196,24,N,False
144,RECIPE,FORMULA,195,51,N,True
145,NEIGHBOR,NEIGHBORLY,197,42,N,False
146,SHOWER,CLEANING,197,1,N,True
147,CORPORAL,RANK,197,4,N,True
148,RADIO,BROADCASTING,197,22,N,True
149,BASIC,SIMPLE,197,19,N,True
150,LIGHT,ILLUMINATION,197,38,N,True
151,ANGLE,CORNER,197,89,N,True
152,FIN,FISH,197,22,N,True
153,BAPTIST,DENOMINATION,197,89,N,True
154,GRADUATE,DEGREE HOLDER,197,29,N,False
155,CIGAR,TOBACCO PRODUCT,196,12,N,False
156,EYEBALL,ORGAN,196,4,N,True
157,BRAKE,STOPPER,196,21,N,True
158,FLOAT,BUOYANCY,196,2,N,True
159,INCLINE,LEAN,196,12,N,True
160,SEASON,SEASON,197,3,N,True
161,PRIM,ELEGANT,197,6,N,True
162,CONSIDER,CONTEMPLATE,197,55,N,True
163,IMPORTANT,SIGNFICANT,197,2,N,False
164,BAPTIST,CHRISTIAN,197,12,N,True
165,GRADUATE,GRADUATION,197,9,N,True
166,BURIAL,FUNERAL,196,9,N,True
167,CUSS,CURSE,196,51,N,True
168,MINK,ANIMAL,196,21,N,True
169,LEVER,TOOL,197,32,N,True
170,SHOWER,BATH,197,17,N,True
171,CORPORAL,OFFICER,197,53,N,True
172,ATTACK,STRIKE,197,5,N,True
173,CLERK,EMPLOYEE,197,45,N,True
174,BAPTIST,BAPTIST,197,15,N,True
175,CAUTION,ALERT,197,7,N,True
176,GRADUATE,DIPLOMA,197,5,N,True
177,ASTEROID,METEOR,196,12,N,True
178,ECONOMY,FINANCES,196,38,N,True
179,PLAYING,GAME,196,2,N,True
180,RECIPE,DISH,195,3,N,True
181,BRIEF,SUMMARY,197,1,N,True
182,EDGE,BOUNDARY,197,46,N,True
183,IMPORTANT,CRUCIAL,197,40,N,True
184,FIN,SWIM,197,14,N,True
185,STRICT,RIGID,196,15,N,True
186,BRAKE,SLOW DOWN,196,4,N,False
187,ASTEROID,CELESTIAL BODY,196,26,N,False
188,FACTORY,PRODUCTION,197,31,N,True
189,PRIM,PRIMARILY,197,15,N,False
190,DANGEROUS,RISKY,197,5,AJ,True
191,IMPORTANT,VITAL,197,13,N,True
192,BOND,TIE,197,1,N,True
193,EYEBALL,VISION ORGAN,196,4,N,False
194,ANXIETY,NERVOUSNESS,197,2,N,True
195,FLUSH,FLUSH,197,2,N,True
196,FIN,TAIL,197,7,N,True
197,SOUTHERN,SOUTH,197,34,N,True
198,FACTORY,MANUFACTURE,197,2,N,True
199,SEASON,PERIOD,197,10,N,True
200,CORPORAL,SERGEANT,197,7,N,True
201,SAVE,RESCUE,197,25,N,True
202,CLERK,SALESPERSON,197,21,N,True
203,INCLINE,TILT,196,5,N,True
204,ANXIOUS,NERVOUS,195,13,N,True
205,FACTORY,INDUSTRY,197,1,N,True
206,DECORATION,ORNAMENTS,197,2,N,True
207,STRANGE,WEIRD,197,6,AJ,True
208,PLAYING,GAMING,196,8,N,True
209,SHOWER,CLEANLINESS,197,20,N,True
210,SAVE,PROTECT,197,6,N,True
211,FIN,END,197,28,N,True
212,BAPTIST,PROTESTANT,197,10,N,True
213,KING,RULER,197,37,N,True
214,EYEBALL,VISION,196,23,N,True
215,ECONOMY,FINANCE,196,7,N,True
216,RECIPE,COOKING,195,20,N,True
217,FRIENDSHIP,RELATIONSHIP,195,14,N,True
218,BAPTIST,BAPTISM,197,8,N,True
219,GRADUATE,COMMENCEMENT,197,6,N,True
220,STOP,CEASE,196,49,N,True
221,ECONOMY,ECONOMY,196,4,N,True
222,BAPTIST,RELIGION,197,19,N,True
223,STRICT,STRINGENT,196,40,N,True
224,SHOWER,CLEAN,197,8,N,True
225,PRIM,FIRST,197,2,ADV,True
226,CORPORAL,MILITARY,197,35,N,True
227,SURFACE,TOP,197,36,N,True
228,PENCIL,WRITING UTENSIL,197,28,N,False
229,BAPTIST,CHRISTIAN DENOMINATION,197,14,N,False
230,ENTERTAINMENT,RECREATION,197,1,N,True
231,FREQUENT,OFTEN,196,4,ADV,False
232,ALARM,WARNING SIGNAL,196,5,N,False
233,BRANDY,ALCOHOL,195,7,N,True
234,PRIM,PRIMED,197,7,N,True
235,FLUSH,EXPEL,197,7,N,True
236,GRADUATE,GRADUATE,197,12,N,True
237,CIGAR,CIGARETTE,196,8,N,True
238,CAUTION,CARE,197,5,N,True
239,FREQUENT,REGULARLY,196,7,N,False
240,ABILITY,CAPACITY,196,6,N,True
241,ASTEROID,SPACE ROCK,196,27,N,False
242,RECIPE,INSTRUCTIONS,195,13,N,True
243,ANGLE,SLOPE,197,19,N,True
244,STRICT,STERN,196,3,N,True
245,DIRECT,LEAD,197,33,N,True
246,GRADUATE,ACHIEVE,197,4,N,True
247,PLAYING,FUN,196,2,N,True
248,FRIENDSHIP,BOND,195,2,N,True
249,PRIM,PRIMACY,197,1,N,False
250,DISCOURAGE,DEMORALIZE,197,1,N,True
251,EYEBALL,OCULAR,196,7,N,True
252,NEIGHBOR,NEIGHBORHOOD,197,8,N,True
253,PRIM,INITIAL,197,1,N,True
254,RADIO,WIRELESS,197,6,N,True
255,SOUTHERN,SOUTHERN REGION,197,5,N,False
256,CIGAR,SMOKING ITEM,196,1,N,False
257,BRANDY,ALCOHOLIC BEVERAGE,195,8,N,False
258,INVENT,INNOVATE,197,2,N,True
259,SHOWER,RAINFALL,197,4,N,True
