Cues,Targets,Sample Size,Count
CREW,TEAM,200,152
PIGMENT,COLOR,200,193
INVENT,INNOVATION,200,195
LEVER,MECHANISM,200,71
RELIABLE,TRUSTWORTHY,200,168
FACTORY,PRODUCTION,200,162
DENT,DAMAGE,200,198
NEIGHBOR,COMMUNITY,200,200
IMAGINATION,CREATIVITY,200,198
LIVING,LIFE,200,154
SEASON,TIME,200,81
SHOWER,CLEANLINESS,200,73
PRIM,FORMAL,200,63
RURAL,COUNTRYSIDE,200,198
CHEDDAR,CHEESE,200,199
DECORATION,ORNAMENT,200,132
FENCE,BOUNDARY,200,167
CORPORAL,MILITARY,200,18
BRIEF,SHORT,200,42
ANXIETY,STRESS,200,18
ASSUME,PRESUME,200,190
DISCOURAGE,DETER,200,156
ROPE,CORD,200,91
HAUNT,GHOST,200,139
SECURE,SAFE,200,197
SURFACE,EXTERIOR,200,171
RADIO,BROADCAST,200,167
PUKE,VOMIT,200,200
EDGE,BORDER,200,89
CALIFORNIA,STATE,200,28
SAVE,PRESERVE,200,188
CATERPILLAR,LARVA,200,75
FLUSH,ELIMINATE,200,12
BASIC,FUNDAMENTAL,200,191
GOODBYE,FAREWELL,200,200
STRANGE,UNUSUAL,200,160
STRAP,FASTEN,200,162
CONSIDER,PONDER,200,169
ROOF,TOP,200,75
DANGEROUS,HAZARDOUS,200,184
IMPORTANT,SIGNIFICANT,200,97
BULLY,INTIMIDATE,200,199
LIGHT,ILLUMINATION,200,37
KING,MONARCH,200,79
ANGLE,PERSPECTIVE,200,167
POPCORN,SNACK,198,198
FIN,APPENDAGE,200,36
SUICIDE,SELF,200,65
PENCIL,WRITING TOOL,200,20
BUTTER,SPREAD,200,184
FISHING,ANGLING,200,148
DIRECT,GUIDE,200,149
INSURANCE,COVERAGE,200,89
SOUTHERN,SOUTHERN REGION,200,2
DECISION,CHOICE,200,200
ATTACK,ASSAULT,200,174
CLERK,EMPLOYEE,200,42
ACTIVITY,ACTION,200,107
POLICE,LAW ENFORCEMENT,200,106
BOND,CONNECTION,200,196
FRIGHTENED,TERRIFIED,200,36
FREEZE,SOLIDIFY,200,152
BAPTIST,DENOMINATION,200,32
ENTERTAINMENT,AMUSEMENT,200,196
CAUTION,WARNING,200,129
FEMALE,WOMAN,200,199
FLEA,PARASITE,200,147
GRADUATE,GRADUATION,200,1
SHUT,CLOSE,200,197
STOP,HALT,200,161
FREQUENT,REGULAR,200,187
CIGAR,SMOKE,200,161
BURIAL,INTERMENT,200,159
MEND,REPAIR,200,197
SEPARATE,DIVIDE,200,200
STARS,CELESTIAL BODIES,200,30
EYEBALL,EYE,200,52
STRICT,STRINGENT,200,32
CUSS,CURSE,200,47
ALARM,ALERT,200,191
BRAKE,STOP,200,175
ABILITY,SKILL,200,102
BLUFF,DECEIVE,200,152
OUTCOME,RESULT,200,200
MINK,FUR,200,197
FORBIDDEN,PROHIBITED,200,195
ASTEROID,CELESTIAL OBJECT,200,26
JOY,HAPPINESS,200,197
ACQUIRE,OBTAIN,200,200
ECONOMY,FINANCIAL SYSTEM,200,43
FLOAT,DRIFT,200,185
PLAYING,RECREATION,200,138
BOIL,COOK,200,76
DOMAIN,TERRITORY,200,190
INCLINE,SLOPE,200,113
ANXIOUS,WORRIED,200,170
BRANDY,LIQUOR,200,102
RECIPE,COOKING INSTRUCTIONS,200,37
SUN,STAR,200,82
FRIENDSHIP,COMPANIONSHIP,200,163
LEVER,POWER,200,65
SHOWER,CLEANSE,200,31
PRIM,PROPER,200,83
CORPORAL,PHYSICAL,200,164
ANXIETY,WORRY,200,163
DISCOURAGE,DEMORALIZE,200,9
ROPE,TIE,200,32
HAUNT,GHOSTLY,200,29
CALIFORNIA,SUNSHINE,200,156
CATERPILLAR,METAMORPHOSIS,200,49
FLUSH,CLEANSE,200,130
ROOF,OVERHEAD,200,76
IMPORTANT,CRUCIAL,200,47
LIGHT,ILLUMINATE,200,159
KING,RULER,200,85
ANGLE,CORNER,200,11
FIN,SWIMMER,200,3
SUICIDE,TRAGIC,200,22
PENCIL,WRITING,200,124
